,LONGITUD,LATITUD,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,SEMAFORO,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
956,-100.45225,19.9734,10.0,3,50.0,4,70.0,2,2.0,1,2.0,1,,0,94.0,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
957,-100.38799,19.91698,8.0,3,102.0,4,38.0,2,40.0,1,40.0,1,,0,83.4,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
958,-100.36788,19.90756,9.0,3,91.0,4,37.0,2,90.0,1,40.0,1,,0,88.9,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
959,-100.3413,19.89776,12.0,3,72.0,4,40.0,2,1500.0,4,1500.0,5,,0,89.8,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,LOTICO
960,-100.33461,19.89981,17.0,3,78.0,4,26.0,2,930.0,3,210.0,2,,0,90.0,1,,0,,0,,0,0.0,1,0.0,1,,0,,0,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LOTICO
961,-100.26426,20.03135,19.0,3,78.0,4,9.0,1,2.0,1,2.0,1,,0,,0,50.8,2,39.1,3,33.5,3,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
962,-100.24382,20.02403,18.0,3,50.0,4,9.0,1,3.0,1,3.0,1,,0,,0,30.7,3,29.5,4,27.1,4,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
963,-100.2285,20.00036,17.0,3,78.0,4,9.0,1,75.0,1,43.0,1,,0,,0,105.5,1,46.5,3,35.6,3,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
964,-100.21156,20.01147,18.0,3,63.0,4,9.0,1,23.0,1,23.0,1,,0,,0,34.8,3,29.7,4,20.6,4,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
965,-100.19621,20.0512,19.0,3,47.0,4,9.0,1,4.0,1,4.0,1,,0,,0,49.9,3,22.9,4,20.1,4,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
